0;2020;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Roi Livne;"1. [BOOK] 2020: Roi Livne, University of Michigan, Values at the End of Life: The Logic of Palliative Care. Harvard University Press. [ ] **NOT WOS INDEXED**
";;;
10001;2020;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Celeste Watkins-Hayes;1. [BOOK] 2020: Honorable Mention, Celeste Watkins-Hayes, Northwestern University, Remaking a Life: How Women Living with HIV/AIDS Confront Inequality. Univ of California Press.;;;
4;2019;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Jessica Kelley;"2. [ART] 2019: Jielu Lin, National Human Genome Research Institute, National Institutes of Health, and Jessica Kelley, Case Western Reserve University, ""From Noise to Signal: The Age and Social Patterning of Intra-Individual Variabiilty in Late-Life Health,"" Journals of Gerontology: Social Sciences 72 (1): 168-179 [ ] **NOT WOS INDEXED**
";;;
3;2019;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Jielu Lin;"2. [ART] 2019: Jielu Lin, National Human Genome Research Institute, National Institutes of Health, and Jessica Kelley, Case Western Reserve University, ""From Noise to Signal: The Age and Social Patterning of Intra-Individual Variabiilty in Late-Life Health,"" Journals of Gerontology: Social Sciences 72 (1): 168-179 [ ] **NOT WOS INDEXED**
";;;
11;2018;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Phyllis Moen;"3. [BOOK] 2018: Phyllis Moen, University of Minnesota, Encore Adulthood: Boomers on the Edge of Risk, Renewal, and Purpose. Oxford University Press. 2016. [x] 4:00
";;;
15;2017;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Andrew Halpern-Manners;"4. [ART] 2017: Andrew Halpern-Manners, Indiana University, John Robert Warren, University of Minnesota, James M. Raymo, University of Wisconsin-Madison, and D. Adam Nicholson, Indiana University, “The Impact of Work and Family Life Histories on Economic Well-Being at Older Ages,” Social Forces 93(4):1369-1396. 2015. [x] 1:27
";;;
18;2017;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;D. Adam Nicholson;"4. [ART] 2017: Andrew Halpern-Manners, Indiana University, John Robert Warren, University of Minnesota, James M. Raymo, University of Wisconsin-Madison, and D. Adam Nicholson, Indiana University, “The Impact of Work and Family Life Histories on Economic Well-Being at Older Ages,” Social Forces 93(4):1369-1396. 2015. [x] 1:27
";;;
17;2017;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;James M. Raymo;"4. [ART] 2017: Andrew Halpern-Manners, Indiana University, John Robert Warren, University of Minnesota, James M. Raymo, University of Wisconsin-Madison, and D. Adam Nicholson, Indiana University, “The Impact of Work and Family Life Histories on Economic Well-Being at Older Ages,” Social Forces 93(4):1369-1396. 2015. [x] 1:27
";;;
16;2017;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;John Robert Warren;"4. [ART] 2017: Andrew Halpern-Manners, Indiana University, John Robert Warren, University of Minnesota, James M. Raymo, University of Wisconsin-Madison, and D. Adam Nicholson, Indiana University, “The Impact of Work and Family Life Histories on Economic Well-Being at Older Ages,” Social Forces 93(4):1369-1396. 2015. [x] 1:27
";;;
24;2016;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Corey Abramson;"5. [BOOK] 2016: Corey Abramson, The End Game: How Inequality Shapes Our Final Years. Harvard University Press. 2015. [x] 3:04
";;;
27;2015;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Anja-Kristin Abendroth;"6. [ART] 2015: Anja-Kristin Abendroth, Matt L. Huffman, and Judith Treas, “The Parity Penalty in Life Course Perspective: Motherhood and Occupational Status in 13 European Countries,”American Sociological Review 79(5):993-1014. 2014. [x] 1:16
";;;
27;2015;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Judith Treas;"6. [ART] 2015: Anja-Kristin Abendroth, Matt L. Huffman, and Judith Treas, “The Parity Penalty in Life Course Perspective: Motherhood and Occupational Status in 13 European Countries,”American Sociological Review 79(5):993-1014. 2014. [x] 1:16
";;;
26;2015;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Matt L. Huffman;"6. [ART] 2015: Anja-Kristin Abendroth, Matt L. Huffman, and Judith Treas, “The Parity Penalty in Life Course Perspective: Motherhood and Occupational Status in 13 European Countries,”American Sociological Review 79(5):993-1014. 2014. [x] 1:16
";;;
30;2014;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;David Warner;"7. [ART] 2014: David Warner, University of Nebraska, Lincoln, and Tyson Brown, Vanderbilt University, “Understanding how race/ethnicity and gender define age-trajectories of disability: An intersectionality approach,” Social Science and Medicine 72(8):1236–1248. 2011. [x] 1:51
";;;
33;2014;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Tyson Brown;"7. [ART] 2014: David Warner, University of Nebraska, Lincoln, and Tyson Brown, Vanderbilt University, “Understanding how race/ethnicity and gender define age-trajectories of disability: An intersectionality approach,” Social Science and Medicine 72(8):1236–1248. 2011. [x] 1:51
";;;
36;2013;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Jacqueline Angel;"8. [BOOK] 2013: Richard Settersten, Oregon State University, and Jacqueline Angel, University of Texas at Austin, Handbook on the Sociology of Aging. Springer-Verlag. 2011. [ ] **NOT WoS INDEXED** 3:25
";;;
35;2013;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Richard Settersten;"8. [BOOK] 2013: Richard Settersten, Oregon State University, and Jacqueline Angel, University of Texas at Austin, Handbook on the Sociology of Aging. Springer-Verlag. 2011. [ ] **NOT WoS INDEXED** 3:25
";;;
41;2012;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Kenneth F. Ferraro;"9. [ART] 2012: Markus H. Schafer, University of Toronto, Kenneth F. Ferraro, Purdue University, and Sarah A. Mustillo, Purdue University, “Children of Misfortune: Early Adversity and Cumulative Inequality in Perceived Life Trajectories,” American Journal of Sociology 116(4):1053-1091. 2011. [x] 1:03
";;;
40;2012;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Markus H. Schafer;"9. [ART] 2012: Markus H. Schafer, University of Toronto, Kenneth F. Ferraro, Purdue University, and Sarah A. Mustillo, Purdue University, “Children of Misfortune: Early Adversity and Cumulative Inequality in Perceived Life Trajectories,” American Journal of Sociology 116(4):1053-1091. 2011. [x] 1:03
";;;
42;2012;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Sarah A. Mustillo;"9. [ART] 2012: Markus H. Schafer, University of Toronto, Kenneth F. Ferraro, Purdue University, and Sarah A. Mustillo, Purdue University, “Children of Misfortune: Early Adversity and Cumulative Inequality in Perceived Life Trajectories,” American Journal of Sociology 116(4):1053-1091. 2011. [x] 1:03
";;;
47;2011;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Monica Kirkpatrick Johnson;"10. [ART] 2011: Monica Kirkpatrick Johnson, Washington State University, and Stefanie Mollborn, University of Colorado, Boulder, “Growing up Faster, Feeling Older: Hardship in Childhood and Adolescence,” Social Psychology Quarterly 72(1):39-60. 2009. [x] 0:45
";;;
48;2011;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Stefanie Mollborn;"10. [ART] 2011: Monica Kirkpatrick Johnson, Washington State University, and Stefanie Mollborn, University of Colorado, Boulder, “Growing up Faster, Feeling Older: Hardship in Childhood and Adolescence,” Social Psychology Quarterly 72(1):39-60. 2009. [x] 0:45
";;;
51;2010;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Joseph C. Hermanowicz;"11. [BOOK] 2010: Josephy C. Hermanowicz, University of Georgia, Lives in Science: How Institutions Affect Academic Careers. University of Chicago Press. 2009. [x] 5:39
";;;
54;2009;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Anrea Wilson;"12. [ART] 2009: Anrea Wilson, University of Western Ontario, Kim Shuey, University of Western Ontario, and Glen Elder Jr., University of North Carolina, Chapel Hill, ""Cumulative Advantage Processes as Mechanisms of Inequality in Life Course Health,” American Journal of Sociology 112(6):1886-1924. 2007. [x] 3:20
";;;
56;2009;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Glen Elder Jr.;"12. [ART] 2009: Anrea Wilson, University of Western Ontario, Kim Shuey, University of Western Ontario, and Glen Elder Jr., University of North Carolina, Chapel Hill, ""Cumulative Advantage Processes as Mechanisms of Inequality in Life Course Health,” American Journal of Sociology 112(6):1886-1924. 2007. [x] 3:20
";;;
55;2009;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Kim Shuey;"12. [ART] 2009: Anrea Wilson, University of Western Ontario, Kim Shuey, University of Western Ontario, and Glen Elder Jr., University of North Carolina, Chapel Hill, ""Cumulative Advantage Processes as Mechanisms of Inequality in Life Course Health,” American Journal of Sociology 112(6):1886-1924. 2007. [x] 3:20
";;;
62;2008;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Arland Thornton;"13. [BOOK] 2008: Arland Thornton, William Axinn, and Yu Xie, Marriage and Cohabitation. University of Chicago Press. 2007. [x] 1:26 [only a single cite]
";;;
63;2008;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;William Axinn;"13. [BOOK] 2008: Arland Thornton, William Axinn, and Yu Xie, Marriage and Cohabitation. University of Chicago Press. 2007. [x] 1:26 [only a single cite]
";;;
64;2008;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Book;Yu Xie;"13. [BOOK] 2008: Arland Thornton, William Axinn, and Yu Xie, Marriage and Cohabitation. University of Chicago Press. 2007. [x] 1:26 [only a single cite]
";;;
67;2007;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Brian Powell;"14. [ART] 2007: Brian Powell, Indiana University, Lala Steelman, University of South Carolina, and Robert Carini, University of Louisville, “Advancing Age, Advantaged Youth: Parental Age and the Transmission of Resources to Children,” Social Forces 84(3):1359-1390. 2006.  [x] 1:16
";;;
68;2007;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Lala Steelman;"14. [ART] 2007: Brian Powell, Indiana University, Lala Steelman, University of South Carolina, and Robert Carini, University of Louisville, “Advancing Age, Advantaged Youth: Parental Age and the Transmission of Resources to Children,” Social Forces 84(3):1359-1390. 2006.  [x] 1:16
";;;
69;2007;Aging and Life Course;" The Section on Aging and the Life Course's Outstanding Publication Award
";Article;Robert Carini;"14. [ART] 2007: Brian Powell, Indiana University, Lala Steelman, University of South Carolina, and Robert Carini, University of Louisville, “Advancing Age, Advantaged Youth: Parental Age and the Transmission of Resources to Children,” Social Forces 84(3):1359-1390. 2006.  [x] 1:16
";;;
